1072,Era,http://188.138.17.52:8000/Era-hi|user-agent=winplaypcradio405,1001
1073,Evanescence,http://188.138.17.52:8000/Evanescence-hi|user-agent=winplaypcradio405,1001
1074,Fatboy Slim,http://188.138.17.52:8000/Fatboy_Slim-hi|user-agent=winplaypcradio405,1001
1075,Fiction Junction,http://188.138.17.52:8000/Fiction_Junction-hi|user-agent=winplaypcradio405,1001
1076,Foreigner,http://188.138.17.52:8000/Foreigner-hi|user-agent=winplaypcradio405,1001
1077,Frank Duval,http://188.138.17.52:8000/Frank_Duval-hi|user-agent=winplaypcradio405,1001
1078,Free Spirit,http://188.138.17.52:8000/Free_spirit_fin-hi|user-agent=winplaypcradio405,1001
1079,Gamma Ray,http://188.138.17.52:8000/Gamma_Ray-hi|user-agent=winplaypcradio405,1001
1080,George Michael,http://188.138.17.52:8000/George_Michael-hi|user-agent=winplaypcradio405,1001
1081,Giorgos Mazonakis,http://188.138.17.52:8000/Giorgos_Mazonakis-hi|user-agent=winplaypcradio405,1001
1082,Gipsy Kings,http://188.138.17.52:8000/Gipsy_Kings-hi|user-agent=winplaypcradio405,1001
1083,Godsmack,http://188.138.17.52:8000/Godsmack-hi|user-agent=winplaypcradio405,1001
1084,Gorillaz,http://188.138.17.52:8000/Gorillaz-hi|user-agent=winplaypcradio405,1001
1085,Guf,http://188.138.17.52:8000/Guf-hi|user-agent=winplaypcradio405,1001
1086,Hi-Fi,http://188.138.17.52:8000/Hi_fi-hi|user-agent=winplaypcradio405,1001
1087,IA,http://188.138.17.52:8000/IA-hi|user-agent=winplaypcradio405,1001
1088,James Blunt,http://188.138.17.52:8000/James_Blunt-hi|user-agent=winplaypcradio405,1001
1089,Jean Michel Jarre,http://188.138.17.52:8000/Jean_Michel_Jarre-hi|user-agent=winplaypcradio405,1001
1090,Jessica Jay,http://188.138.17.52:8000/Jessica_Jay-hi|user-agent=winplaypcradio405,1001
1091,Joe Dassin,http://188.138.17.52:8000/Joe_Dassin-hi|user-agent=winplaypcradio405,1001
1092,John Lee Hooker,http://188.138.17.52:8000/John_Lee_Hooker-hi|user-agent=winplaypcradio405,1001
1093,Johnny Cash,http://188.138.17.52:8000/Johnny_CASH-hi|user-agent=winplaypcradio405,1001
1094,Josh Groban,http://188.138.17.52:8000/Josh_Groban-hi|user-agent=winplaypcradio405,1001
1095,Justin Timberlake,http://188.138.17.52:8000/Justin_Timberlake-hi|user-agent=winplaypcradio405,1001
1096,Kate Ryan,http://188.138.17.52:8000/Kate_Ryan-hi|user-agent=winplaypcradio405,1001
1097,Katy Perry,http://188.138.17.52:8000/Katy_Perry-hi|user-agent=winplaypcradio405,1001
1098,Kelly Clarkson,http://188.138.17.52:8000/Kelly_Clarkson-hi|user-agent=winplaypcradio405,1001
1099,Kesha,http://188.138.17.52:8000/Kesha-hi|user-agent=winplaypcradio405,1001
1100,King Crimson,http://188.138.17.52:8000/King_Crimson-hi|user-agent=winplaypcradio405,1001
1101,Kiss,http://188.138.17.52:8000/Kiss-hi|user-agent=winplaypcradio405,1001
1102,Krec,http://188.138.17.52:8000/Krec-hi|user-agent=winplaypcradio405,1001
1103,Kylie Minogue,http://188.138.17.52:8000/Kylie_Minogue-hi|user-agent=winplaypcradio405,1001
1104,Lady Gaga,http://188.138.17.52:8000/Lady_GaGa-hi|user-agent=winplaypcradio405,1001
1105,Lana Del Rey,http://188.138.17.52:8000/Lana_Del_rey-hi|user-agent=winplaypcradio405,1001
1106,Lara Fabian,http://188.138.17.52:8000/Lara_Fabian-hi|user-agent=winplaypcradio405,1001
1107,Led Zeppelin,http://188.138.17.52:8000/Led_Zeppelin-hi|user-agent=winplaypcradio405,1001
1108,Lei Ting,http://188.138.17.52:8000/Lei_Ting-hi|user-agent=winplaypcradio405,1001
1109,Li Yi Jun,http://188.138.17.52:8000/Li_Yi_Jun-hi|user-agent=winplaypcradio405,1001
1110,Lily Allen,http://188.138.17.52:8000/Lily_Allen-hi|user-agent=winplaypcradio405,1001
1111,Linkin Park,http://188.138.17.52:8000/Linkin_Park-hi|user-agent=winplaypcradio405,1001
1112,Louis Armstrong,http://188.138.17.52:8000/Louis_Armstrong-hi|user-agent=winplaypcradio405,1001
1113,Louna,http://188.138.17.52:8000/Louna-hi|user-agent=winplaypcradio405,1001
1114,Madonna,http://188.138.17.52:8000/Madonna-hi|user-agent=winplaypcradio405,1001
1115,Manowar,http://188.138.17.52:8000/Manowar-hi|user-agent=winplaypcradio405,1001
1116,Maria Rita,http://188.138.17.52:8000/Maria_Rita-hi|user-agent=winplaypcradio405,1001
